STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC
TT249843134237374,QY,202403,,,500002,서울,100001,임대료,23.6978086906355,천원/㎡,,서울,임대료,2024년 3분기
TT249843134237374,QY,202404,,,500002,서울,100001,임대료,23.8897863043888,천원/㎡,,서울,임대료,2024년 4분기
