STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역
TT249843134237374,QY,202403,,,520022,당산역,100001,임대료,13.7460680791485,천원/㎡,,서울>여의도마포>당산역,임대료,2024년 3분기,YBD_당산역
TT249843134237374,QY,202404,,,520022,당산역,100001,임대료,13.7798949533101,천원/㎡,,서울>여의도마포>당산역,임대료,2024년 4분기,YBD_당산역
TT249843134237374,QY,202403,,,520023,여의도,100001,임대료,21.2830660123814,천원/㎡,,서울>여의도마포>여의도,임대료,2024년 3분기,YBD_여의도
TT249843134237374,QY,202404,,,520023,여의도,100001,임대료,21.4560584307492,천원/㎡,,서울>여의도마포>여의도,임대료,2024년 4분기,YBD_여의도
TT249843134237374,QY,202403,,,520024,영등포역,100001,임대료,12.6293439911457,천원/㎡,,서울>여의도마포>영등포역,임대료,2024년 3분기,YBD_영등포역
TT249843134237374,QY,202404,,,520024,영등포역,100001,임대료,12.6346786062841,천원/㎡,,서울>여의도마포>영등포역,임대료,2024년 4분기,YBD_영등포역
TT249843134237374,QY,202403,,,520026,목동,100001,임대료,11.7203951174053,천원/㎡,,서울>기타>목동,임대료,2024년 3분기,Others_목동
TT249843134237374,QY,202404,,,520026,목동,100001,임대료,11.7231519824194,천원/㎡,,서울>기타>목동,임대료,2024년 4분기,Others_목동
TT249843134237374,QY,202403,,,520027,사당,100001,임대료,20.6463716415084,천원/㎡,,서울>기타>사당,임대료,2024년 3분기,Others_사당
TT249843134237374,QY,202404,,,520027,사당,100001,임대료,20.6582289606928,천원/㎡,,서울>기타>사당,임대료,2024년 4분기,Others_사당
TT249843134237374,QY,202403,,,520028,숙명여대,100001,임대료,17.2433871192063,천원/㎡,,서울>기타>숙명여대,임대료,2024년 3분기,Others_숙명여대
TT249843134237374,QY,202404,,,520028,숙명여대,100001,임대료,17.2433871192063,천원/㎡,,서울>기타>숙명여대,임대료,2024년 4분기,Others_숙명여대
TT249843134237374,QY,202403,,,520029,용산역,100001,임대료,12.9753349932026,천원/㎡,,서울>기타>용산역,임대료,2024년 3분기,Others_용산역
TT249843134237374,QY,202404,,,520029,용산역,100001,임대료,13.0140446306636,천원/㎡,,서울>기타>용산역,임대료,2024년 4분기,Others_용산역
TT249843134237374,QY,202403,,,520030,잠실/송파,100001,임대료,12.6849219948089,천원/㎡,,서울>기타>잠실/송파,임대료,2024년 3분기,Others_잠실송파
TT249843134237374,QY,202404,,,520030,잠실/송파,100001,임대료,12.6856104075151,천원/㎡,,서울>기타>잠실/송파,임대료,2024년 4분기,Others_잠실송파
TT249843134237374,QY,202403,,,520031,잠실새내역,100001,임대료,19.6601199198863,천원/㎡,,서울>기타>잠실새내역,임대료,2024년 3분기,Others_잠실새내
TT249843134237374,QY,202404,,,520031,잠실새내역,100001,임대료,19.6847980176045,천원/㎡,,서울>기타>잠실새내역,임대료,2024년 4분기,Others_잠실새내
TT249843134237374,QY,202403,,,520032,장안동,100001,임대료,11.6636676701942,천원/㎡,,서울>기타>장안동,임대료,2024년 3분기,Others_장안동
TT249843134237374,QY,202404,,,520032,장안동,100001,임대료,11.6770361537269,천원/㎡,,서울>기타>장안동,임대료,2024년 4분기,Others_장안동
TT249843134237374,QY,202403,,,520033,천호,100001,임대료,11.9138850267789,천원/㎡,,서울>기타>천호,임대료,2024년 3분기,Others_천호
TT249843134237374,QY,202404,,,520033,천호,100001,임대료,11.9425846447917,천원/㎡,,서울>기타>천호,임대료,2024년 4분기,Others_천호
TT249843134237374,QY,202403,,,520034,홍대/합정,100001,임대료,17.9451544650407,천원/㎡,,서울>기타>홍대/합정,임대료,2024년 3분기,Others_홍대합정
TT249843134237374,QY,202404,,,520034,홍대/합정,100001,임대료,18.1942351628889,천원/㎡,,서울>기타>홍대/합정,임대료,2024년 4분기,Others_홍대합정
TT249843134237374,QY,202403,,,520035,화곡,100001,임대료,7.89958901077818,천원/㎡,,서울>기타>화곡,임대료,2024년 3분기,Others_화곡
TT249843134237374,QY,202404,,,520035,화곡,100001,임대료,7.90312407704933,천원/㎡,,서울>기타>화곡,임대료,2024년 4분기,Others_화곡
