STATBL_ID,DTACYCLE_CD,WRTTIME_IDTFR_ID,GRP_ID,GRP_NM,CLS_ID,CLS_NM,ITM_ID,ITM_NM,DTA_VAL,UI_NM,GRP_FULLNM,CLS_FULLNM,ITM_FULLNM,WRTTIME_DESC,지역,지표
A_2024_00678,QY,200901,,,520020,서초지역,100001,공실률,11.3,%,,서울>강남지역>서초지역,공실률,2009년 1분기,GBD_서초,공실률
A_2024_00680,QY,200901,,,520021,도산로지역,100001,임대료,17.6,천원/㎡,,서울>강남지역>도산로지역,임대료,2009년 1분기,GBD_도산대로,임대료
A_2024_00678,QY,200901,,,520021,도산로지역,100001,공실률,6.1,%,,서울>강남지역>도산로지역,공실률,2009년 1분기,GBD_도산대로,공실률
A_2024_00680,QY,200901,,,520022,역삼북부지역,100001,임대료,27.9,천원/㎡,,서울>강남지역>역삼북부지역,임대료,2009년 1분기,GBD_역삼북부,임대료
A_2024_00678,QY,200901,,,520022,역삼북부지역,100001,공실률,1.7,%,,서울>강남지역>역삼북부지역,공실률,2009년 1분기,GBD_역삼북부,공실률
A_2024_00680,QY,200901,,,520023,선릉북부지역,100001,임대료,21.1,천원/㎡,,서울>강남지역>선릉북부지역,임대료,2009년 1분기,GBD_선릉북부,임대료
A_2024_00678,QY,200901,,,520023,선릉북부지역,100001,공실률,3.2,%,,서울>강남지역>선릉북부지역,공실률,2009년 1분기,GBD_선릉북부,공실률
A_2024_00680,QY,200901,,,520024,삼성북부지역,100001,임대료,21.1,천원/㎡,,서울>강남지역>삼성북부지역,임대료,2009년 1분기,GBD_삼성북부,임대료
A_2024_00678,QY,200901,,,520024,삼성북부지역,100001,공실률,3.3,%,,서울>강남지역>삼성북부지역,공실률,2009년 1분기,GBD_삼성북부,공실률
A_2024_00680,QY,200901,,,520025,역삼남부지역,100001,임대료,17.8,천원/㎡,,서울>강남지역>역삼남부지역,임대료,2009년 1분기,GBD_역삼남부,임대료
A_2024_00678,QY,200901,,,520025,역삼남부지역,100001,공실률,6.4,%,,서울>강남지역>역삼남부지역,공실률,2009년 1분기,GBD_역삼남부,공실률
A_2024_00680,QY,200901,,,520026,선릉남부지역,100001,임대료,19.5,천원/㎡,,서울>강남지역>선릉남부지역,임대료,2009년 1분기,GBD_선릉남부,임대료
A_2024_00678,QY,200901,,,520026,선릉남부지역,100001,공실률,2.7,%,,서울>강남지역>선릉남부지역,공실률,2009년 1분기,GBD_선릉남부,공실률
A_2024_00680,QY,200901,,,520027,삼성남부지역,100001,임대료,24,천원/㎡,,서울>강남지역>삼성남부지역,임대료,2009년 1분기,GBD_삼성남부,임대료
A_2024_00678,QY,200901,,,520027,삼성남부지역,100001,공실률,7.5,%,,서울>강남지역>삼성남부지역,공실률,2009년 1분기,GBD_삼성남부,공실률
A_2024_00680,QY,200901,,,520028,양재지역,100001,임대료,15.7,천원/㎡,,서울>강남지역>양재지역,임대료,2009년 1분기,GBD_양재,임대료
A_2024_00678,QY,200901,,,520028,양재지역,100001,공실률,4.8,%,,서울>강남지역>양재지역,공실률,2009년 1분기,GBD_양재,공실률
A_2024_00680,QY,200901,,,520029,송파지역,100001,임대료,16.3,천원/㎡,,서울>강남지역>송파지역,임대료,2009년 1분기,GBD_송파,임대료
A_2024_00678,QY,200901,,,520029,송파지역,100001,공실률,2.5,%,,서울>강남지역>송파지역,공실률,2009년 1분기,GBD_송파,공실률
A_2024_00680,QY,200901,,,520031,충정로지역,100001,임대료,17.5,천원/㎡,,서울>기타지역>충정로지역,임대료,2009년 1분기,Others_충정로,임대료
